28    3
-2.6152       4.98757       -15.3249      
-2.1462       5.26552       -17.6408      
-3.86931      3.601         -9.15967      
-2.30244      5.29821       -16.0829      
-2.33248      4.78873       -16.3847      
-2.24383      5.34971       -16.1467      
-0.152034     8.3376        -24.6258      
-2.29736      4.76619       -16.4009      
-2.27088      4.88034       -15.7214      
-2.98067      2.3902        -14.5093      
-2.05313      5.32892       -16.2001      
-3.67153      2.1141        -10.8003      
-2.86151      2.32477       -14.9325      
-4.00113      1.724         -9.40174      
-1.93831      4.97897       -16.894       
-2.05813      5.05542       -15.9484      
-1.61911      5.63148       -17.3776      
-1.83525      4.91841       -16.4941      
-2.88505      1.97868       -13.3006      
-2.63324      1.98406       -14.3309      
-2.68939      1.84793       -13.6612      
-0.288008     6.76012       -18.9807      
-1.06218      4.26953       -17.5833      
-0.940206     4.30988       -17.6655      
-0.729197     5.4161        -17.3106      
-0.267334     6.34365       -18.0611      
-2.25552      0.126547      -9.48427      
-2.15336      0.0896776     -9.38924      
